county,state,total_exp,medical_care_exp,edu_training_exp,exp_per_vet,county_pop,vet_pop,med_patients,state_va_fac,hs_grad_pct,clg_grad_pct,median_income,poverty_pct,unemployment_pct,severe_housing_problems_pct,smokers_pct,obesity_pct,inactive_pct,excess_alcohol_pct,diabetes_pct,food_insecure_pct,age_under18_pct,age_over65_pct,rural_pct
broome,ny,70894.72992996337,27742.185929963376,2428.554,6.574888660533023,190488,10782.651021229001,3041.0,77,90.28191566467285,28.804603576660156,52510.0,18.4,5.2,15.738391271,22.057009779,30.1,22.7,22.262732837,10.6,12.7,19.321427072,19.413296376,26.056829511
cattaraugus,ny,67235.77065500867,28839.50165500867,1381.491,12.090557966789026,76117,5561.0147058304,2321.0,77,89.67472743988037,19.90706443786621,51824.0,16.3,5.3,14.184397163,23.808276191,38.9,28.5,21.071583773,14.3,12.8,21.855827213,19.735407333,61.752804512
cayuga,ny,47264.00037919316,25922.46437919316,1218.229,9.74132385539052,76576,4851.9073054982,1850.0,77,88.23095703125,21.973674774169922,59335.0,11.7,4.7,12.790327712,22.65664425,33.8,25.1,22.520062504,11.6,10.7,19.459099457,19.835196406,55.781870892
chautauqua,ny,90800.33077254012,37017.85277254013,2111.229,11.386032618780588,126903,7974.711983766,3605.0,77,89.42310905456543,23.06332778930664,50062.0,14.8,5.6,15.598754364,23.680143445,34.0,27.0,22.140023732,12.6,13.0,20.195740053,20.712670307,43.862718209
chemung,ny,61473.15107603512,26920.198386035125,1487.439,10.932820497783931,83456,5622.8080474289,2024.0,77,89.90254878997803,23.55341339111328,54705.0,14.5,5.3,14.034328573,23.58428113,35.1,29.6,20.066439786,12.7,12.1,21.18841066,19.512078221,24.178768434
chenango,ny,28075.703537592828,11298.10653759283,854.96,8.017698358800821,47207,3501.7161136743002,1048.0,77,88.46829986572266,18.970468521118164,52545.0,11.5,4.4,13.840490798,22.913565062,39.3,24.2,19.910786926,13.6,12.4,20.583811723,20.865549601,83.412247162
clinton,ny,49068.80552615405,15941.847526154052,819.195,7.9173077253162125,80485,6197.6630476611,1945.0,77,88.04521083831787,24.42218589782715,59741.0,11.1,4.6,13.620580808,21.875742361,35.7,27.5,21.690400291,11.3,11.9,17.917624402,17.669130894,64.155951685
columbia,ny,27554.734417814274,15621.940417814274,574.998,7.101442158488715,59461,3880.1603678313,1036.0,77,90.92440605163574,33.67246627807617,66068.0,10.2,3.8,14.840989399,20.177388562,26.5,22.1,22.127184108,9.5,10.2,16.962378702,24.385731824,73.297831875
cortland,ny,25673.248474976957,13681.765474976957,1061.507,9.570754839176715,47581,2682.4685102043,995.0,77,90.69208431243896,26.905485153198242,60165.0,11.7,5.1,13.556485356,21.52773221,34.4,25.3,21.241328761,11.6,11.1,19.177823081,16.886992707,44.273958164
delaware,ny,19184.268428307918,8543.554428307918,443.043,6.357513604422989,44135,3017.5741055373,792.0,77,89.47640991210938,22.11629295349121,54440.0,12.8,4.6,17.068062827,22.883929757,31.5,26.3,22.091058532,10.6,12.3,16.333975303,25.186360032,78.363901626
dutchess,ny,129237.45000138036,71093.92107138036,6456.712,8.398378390613589,294218,15388.381422040002,4933.0,77,91.14216327667236,36.405174255371094,79276.0,8.3,4.4,19.988825255,15.67146022,27.9,20.3,21.838960037,9.7,8.7,18.656234493,18.149467402,25.399343839
erie,ny,691160.6383801617,265851.71284016175,19232.092,13.174628289614603,918702,52461.490615639996,18228.0,77,92.04606819152832,35.11405944824219,59584.0,13.2,5.5,14.887284209,18.774414029,29.5,23.7,22.824432886,11.3,11.4,20.166822321,18.388443696,9.4038344359
essex,ny,19886.052881796364,7957.315881796362,516.022,7.425279208639846,36885,2678.1555713968996,910.0,77,90.48364639282227,29.832984924316406,57129.0,10.2,4.7,12.553261226,18.772894177,29.6,22.9,21.043616284,10.6,10.3,16.017351227,24.261895079,74.856489713
franklin,ny,27249.362861953923,8979.290861953923,834.877,7.829874031600869,50022,3480.1789597096,957.0,77,87.72250461578369,20.713703155517578,58709.0,15.9,4.7,13.743075706,23.330822818,39.0,26.0,22.044068462,13.5,12.9,19.181560114,17.442325377,62.675633249
fulton,ny,25464.437678156166,12368.403678156168,706.554,7.094440190952635,53383,3589.3512374141005,998.0,77,88.42975234985352,18.215497970581055,55405.0,13.9,5.5,13.978256046,24.037638762,35.5,27.5,20.405020123,13.8,12.4,20.137496956,20.141243467,50.37366516
genesee,ny,81873.8853052661,46032.40440526609,930.247,21.937381274502556,57280,3732.1631183219997,1662.0,77,92.24519395828247,21.881271362304688,62641.0,10.2,4.3,11.649269311,22.630276301,34.1,31.0,19.887131926,13.3,10.2,20.261871508,19.291201117,59.886149903
greene,ny,29463.64646454733,16984.45646454733,834.503,9.192098293949439,47188,3205.3232594283004,1032.0,77,87.29622459411621,23.946279525756836,60163.0,11.2,4.9,17.743349898,23.419935021,31.3,25.9,21.969002181,11.0,10.9,16.203272018,22.728235992,73.141545275
hamilton,ny,2045.0993479889742,978.0553479889741,24.481,4.202337232877005,4416,486.6575990116,99.0,77,79.54088973999023,19.85652732849121,56253.0,8.7,4.4,13.698630137,21.240222785,29.7,20.7,24.068407684,12.7,11.8,13.654891304,31.861413043,100.0
herkimer,ny,33050.79261877286,13707.887618772858,714.353,7.693716611365563,61319,4295.8162209859,1239.0,77,90.64758110046387,21.12411880493164,59893.0,12.1,5.8,11.51479055,24.939865673,33.8,26.5,24.581777163,11.1,11.9,20.427599928,21.228330534,51.809544475
jefferson,ny,147554.04435883666,40335.18835883667,15265.148,10.523776380064456,109834,14021.016698754,3997.0,77,90.95576572418213,22.472352981567383,57570.0,13.1,5.0,13.829417891,20.235493937,36.0,25.1,20.788657348,10.9,12.7,23.989839212,14.213267294,48.049109947
kings,ny,463976.6571007241,257415.37810072413,42650.149,10.790499031039335,2559903,42998.62830867,11055.0,77,83.19567680358887,38.83721923828125,70390.0,17.8,10.1,34.151272958,15.268122754,23.8,24.0,18.222375403,9.7,14.3,22.683320423,14.371013277,0.0014772228
lewis,ny,17994.066177924753,6601.715177924751,684.73,11.03159623396687,26296,1631.1389391246998,681.0,77,91.30340099334717,18.34013557434082,57897.0,11.4,5.0,11.871030777,21.868104239,36.4,28.2,21.723446202,14.0,11.4,22.847581381,19.014298753,86.849780337
livingston,ny,30193.813106429825,13277.891106429826,1152.799,9.099653881996378,62914,3318.127645071,1253.0,77,91.75085735321045,27.531600952148438,60947.0,10.3,4.3,15.083913221,21.371860856,37.0,24.4,19.603946523,12.6,9.9,17.562068856,18.336141399,54.652638662
madison,ny,42560.87948082306,22654.666480823056,1649.81,9.560305400138907,70941,4451.8326245315,1487.0,77,92.62395715713501,26.63490104675293,64379.0,10.4,4.5,11.632769435,20.292388676,31.4,22.6,22.787508625,10.7,9.5,18.965055469,18.880478144,58.945834808
monroe,ny,284744.2655975469,129902.26859754686,12058.889,8.223072890266302,741770,34627.476783599996,11436.0,77,90.84723091125488,39.217552185058594,61358.0,13.9,5.2,16.43454966,18.03860166,30.9,20.7,21.134944666,9.1,11.3,20.617576877,17.862005743,6.4499747429
montgomery,ny,25282.04403120013,9884.548031200131,1096.608,8.088522708414228,49221,3125.6689191093,783.0,77,87.82791805267334,18.655864715576172,52482.0,11.9,5.7,16.446700508,22.632302035,35.2,29.4,20.099602316,12.2,13.6,22.917047602,18.912659231,40.938688544
nassau,ny,284206.5905001587,116188.63950015868,24232.635,7.02672834998634,1356924,40446.50317252,9334.0,77,91.55062961578369,46.7409782409668,122730.0,5.7,4.5,20.752699067,12.074269951,24.2,20.4,19.360677859,8.5,5.3,21.442321014,18.180089673,0.1922313166
new york,ny,308852.5726516275,158920.13106162747,31934.539,8.570551089753351,1628706,36036.48930124,7223.0,77,87.84182739257812,62.18356704711914,87745.0,16.3,7.6,24.236989761,11.920397584,15.6,16.8,23.949642168,6.8,12.2,14.26187415,16.95339736,0.0
niagara,ny,143706.65608844536,61282.06008844537,5229.616,9.80468833262599,209281,14656.93260338,4633.0,77,91.54885768890381,25.6058292388916,54963.0,11.7,5.7,12.571038872,22.594051992,32.1,27.8,20.378763637,14.1,11.4,19.922496548,19.523989278,22.440626602
oneida,ny,127313.31648071563,52043.24648071562,4538.895,8.837176262933745,228671,14406.560726271,4611.0,77,89.03904151916504,26.642601013183594,58696.0,12.4,5.1,14.618105449,20.598873074,33.4,24.8,19.211180031,14.2,12.0,21.296097887,19.173397589,32.983932084
onondaga,ny,282768.22752597695,161359.87194597695,12596.922,10.939795677958106,460528,25847.669906277002,8922.0,77,91.23432636260986,36.13951110839844,63963.0,12.8,4.9,14.894532932,17.194446583,31.5,21.3,21.879411754,11.4,11.0,21.082757183,17.533787305,12.587521894
ontario,ny,96152.70582098319,59913.749760983184,1974.136,13.974154104669507,109777,6880.753217746,3018.0,77,93.18736982345581,35.81162643432617,62777.0,8.8,4.3,12.446351931,18.095747542,31.6,21.4,21.312713647,10.6,8.9,19.89032311,20.606320085,47.468289926
orange,ny,179066.34299228573,72800.64199228572,15102.202,10.179013521978238,384940,17591.718746188002,5342.0,77,89.85846138000488,30.783979415893555,78724.0,10.6,4.7,21.82508303,17.225856154,28.7,26.4,20.515196212,9.4,9.0,25.458513015,14.32353094,22.340690909
orleans,ny,27545.989408647903,12413.522408647905,585.395,10.527242578054091,40352,2616.638612097,967.0,77,87.65611267089844,16.30999755859375,57318.0,13.2,5.2,13.629355535,24.565245737,36.9,32.3,20.28151021,15.7,11.8,19.322462331,18.422878668,60.87960264
oswego,ny,82941.73117008028,44743.66717008027,2891.923,9.631422993215551,117124,8611.576007876,3225.0,77,89.11672496795654,20.08316993713379,58439.0,14.2,5.5,15.355274629,23.595182077,36.6,25.6,21.604794119,10.8,12.8,20.899217923,16.807827602,61.754661819
otsego,ny,27314.952369056016,9823.059369056016,756.882,7.515030262257112,59493,3634.7095641438,892.0,77,92.64558982849121,33.370792388916016,58417.0,12.8,4.4,16.19047619,20.145413075,28.7,22.6,22.857152366,9.3,10.9,15.724539021,21.743734557,70.566504441
putnam,ny,34122.50687934019,16178.87187934019,2124.371,7.162532655776592,98320,4764.0281055919995,1350.0,77,92.97445392608643,40.886558532714844,104285.0,5.7,4.2,17.20821798,14.834439413,23.4,19.4,21.642105545,7.0,5.8,19.441619203,18.030919447,20.549593822
queens,ny,390336.53178024996,196923.75078024997,46089.81,9.407196787103787,2253858,41493.394962818,9446.0,77,82.6027603149414,33.472801208496094,78847.0,10.3,9.6,31.557195287,14.098319841,24.4,27.9,16.124325992,11.2,9.9,20.030498816,16.3423339,0.0
rensselaer,ny,79095.66236046804,40348.34036046804,2939.701,8.121976384902506,158714,9738.4748012189,2613.0,77,92.4732141494751,33.90089416503906,71457.0,10.4,4.4,14.273524164,20.399437954,29.9,21.3,24.901312469,10.1,10.3,19.304535202,17.518933427,30.512014753
richmond,ny,126202.10502348763,53075.054023487624,9705.234,8.941641508352372,476143,14113.9750353,3731.0,77,88.45789051055908,34.697078704833984,81003.0,10.6,8.7,24.336442973,18.595014438,29.2,25.5,19.008843313,11.2,9.0,21.77623109,16.654870491,0.0
rockland,ny,58181.22443666471,21271.02843666471,3714.252,6.630712480015658,325789,8774.5056978443,2403.0,77,88.50541973114014,41.86946487426758,94874.0,14.4,4.4,26.677340271,14.500217236,23.1,24.0,17.97093656,8.6,9.0,28.413482346,15.890346206,0.7173863523
st. lawrence,ny,66966.84727370976,24989.516273709753,2630.32,8.710396329181979,107740,7688.1515769098005,2346.0,77,88.58972358703613,23.562728881835938,51526.0,14.7,5.1,15.393852065,21.640592714,35.8,28.4,22.547000786,11.7,13.1,20.080749954,17.968256915,61.991710141
saratoga,ny,102524.63000549609,39876.588005496094,7091.62,6.6822783516729904,229863,15342.76553742,3765.0,77,93.73486948013306,42.010231018066406,83427.0,6.3,3.8,11.032964673,17.683177618,27.6,18.2,24.092740144,9.1,7.5,19.669107251,18.807724601,29.961704317
schenectady,ny,64197.18890487129,30542.030904871284,2765.179,7.786925366327598,155299,8244.228098355,2149.0,77,90.92845058441162,32.083805084228516,66292.0,10.9,4.9,14.770088249,17.217160251,31.3,21.4,20.099551426,11.5,10.0,21.579662458,17.349113645,8.1563010981
schoharie,ny,19332.417216244026,10005.232216244027,591.698,8.941031497710288,30999,2162.2132995723,625.0,77,90.67595958709717,23.584863662719727,59744.0,11.0,4.5,14.194577352,22.419888717,35.7,25.5,20.813185363,12.2,11.2,17.326365367,22.732991387,82.845277718
schuyler,ny,12427.059223411097,5639.1892234110965,260.407,9.363780923111873,17807,1327.1411757122999,468.0,77,91.05832481384277,23.16362762451172,54269.0,11.8,4.9,15.177971793,21.707875937,32.0,26.3,22.791562979,12.1,11.9,18.554501039,21.957657101,81.15357357
seneca,ny,20035.20460468188,9306.660604681878,621.008,8.483033970345682,34016,2361.7970498196,732.0,77,84.9155216217041,21.340301513671875,56929.0,12.1,4.7,11.451791651,23.69546927,38.3,29.9,20.764987599,12.8,10.8,19.958254939,19.628998119,58.656492014
